from,to,weight
14263,21566,7
14263,21703,7
14263,21706,7
14263,21707,7
14263,21709,7
14263,21711,7
14263,21712,7
14263,21713,7
14263,21715,7
14263,21722,7
14263,21723,7
14263,21726,7
14263,21728,7
14263,21729,7
14263,21730,7
14263,21732,7
14263,21736,7
14263,21738,7
14263,21739,7
14263,21740,7
14263,21741,7
14263,21743,7
14263,21746,7
14263,21747,7
14263,21753,0.5
14263,21754,3
14263,29106,7
14263,29109,7
14263,29127,3
14263,29134,7
14263,29312,7
14263,29317,7
14263,29337,7
14263,29339,7
14263,29346,5
14263,29348,7
14263,29368,7
14263,29377,7
14263,29378,6.5
14263,29379,7
14263,29504,7
14263,29546,2
14263,29561,7
14263,29571,7
14263,29573,7
14263,29587,5.5
14263,29588,5
14263,29707,7
14263,29710,7
14263,29717,6.5
14263,29729,7
14263,29741,7
14263,29768,7
14263,29769,6
14263,29776,7
14263,29777,7
14263,29778,7
14263,29901,7
14263,29903,7
14263,29908,7
14263,29911,7
14263,29919,7
14263,29925,7
14263,31101,7
14263,31103,6
14263,39301,7
14263,39304,7
14263,39305,5
14263,39307,7
14657,14066,7
14657,14854,7
14657,14863,7
14657,15085,7
14657,15444,2
14657,15445,7
14657,15446,7
14657,15455,7
14657,15621,7
14657,15634,7
14657,20107,7
14657,20124,7
14657,20130,4
14657,20134,6
14657,20136,1
14657,20138,7
14657,20139,7
14657,20301,7
14657,20304,4
14657,20307,7
14657,20316,7
14657,20325,6
14657,20337,7
14657,20342,7
14657,20344,7
14657,20346,4
14657,20351,7
14657,20352,7
14657,20355,7
14657,20356,7
14657,20357,7
14657,20501,1
14657,20505,2
14657,20508,4
14657,20518,7
14657,20521,7
14657,20522,7
14657,20526,7
14657,20527,7
14657,20528,7
14657,20530,7
14657,20531,7
14657,20532,7
14657,20533,2
14657,20535,7
14657,20536,6.5
14657,20703,7
14657,20704,7
14657,20709,7
14657,20715,7
14657,20725,7
14657,20726,1
14657,20729,7
14657,20738,7
14657,20755,7
14657,20756,7
14657,20758,7
14657,20759,5.5
14657,20903,7
14657,20906,6
14657,20909,7
14657,20910,7
14657,20915,7
14657,20916,7
14657,20924,7
14657,20925,7
14657,20926,7
14657,20929,7
14657,20941,0.5
14657,20944,0.5
14657,20946,6
14657,20947,7
14657,20948,7
14657,20949,4
14657,20962,7
14657,20963,7
14657,21101,7
14657,21103,6.5
14657,21105,7
14657,21106,7
14657,21108,7
14657,21109,7
14657,21110,0.5
14657,21111,7
14657,21116,7
14657,21117,7
14657,21122,7
14657,21123,7
14657,21125,7
14657,21128,7
14657,21129,7
14657,21131,7
14657,21132,7
14657,21135,7
14657,21139,7
14657,21142,7
14657,21143,7
14657,21148,7
14657,21149,7
14657,21150,7
14657,21162,7
14657,21163,7
14657,21164,7
14657,21165,7
14657,21167,6
14657,21168,6
14657,21170,7
14657,21171,6
14657,21174,7
14657,21175,7
14657,21176,2
14657,21177,6
14657,21178,7
14657,21179,7
14657,21180,7
14657,21182,7
14657,21184,7
14657,21187,7
14657,21188,7
14657,21189,7
14657,21191,7
14657,21192,7
14657,21193,7
14657,21196,7
14657,21198,0.5
14657,21302,7
14657,21303,0.5
14657,21305,7
14657,21307,7
14657,21317,7
14657,21318,7
14657,21323,7
14657,21324,1
14657,21328,7
14657,21330,7
14657,21331,7
14657,21332,7
14657,21333,7
14657,21337,7
14657,21345,7
14657,21346,7
14657,21347,7
14657,21348,7
14657,21349,7
14657,21350,7
14657,21351,7
14657,21353,6.5
14657,21354,7
14657,21355,7
14657,21356,7
14657,21357,6
14657,21358,1
14657,21359,7
14657,21360,7
14657,21364,7
14657,21365,0.5
