from,to
2891210047,339822881
2891210047,229966028
2891210047,291756142
2891210047,1071402577
2891210047,217543151
2891210047,1096059529
2891210047,78403308
2891210047,75364211
2891210047,18632666
2891210047,21269970
2891210047,296361085
2891210047,264219447
2891210047,221162525
2891210047,600463589
2891210047,21157904
2891210047,5558312
2891210047,21111098
2891210047,382791093
2891210047,202206694
2891210047,76649729
2891210047,18915145
2891210047,13218102
2891210047,19726613
2891210047,18061669
2891210047,88784440
2891210047,1074480192
2891210047,216881337
18061669,1078693601356509184
18061669,18137749
18061669,946549322
18061669,234128524
18061669,2167097881
18061669,193794406
18061669,291756142
18061669,1068481578
18061669,217543151
18061669,2955485182
18061669,2891210047
18061669,242555999
18061669,249787913
18061669,171598736
18061669,224285242
18061669,278124059
18061669,236511574
18061669,2962923040
18061669,2964174789
18061669,968650362
18061669,2856787757
18061669,515822213
18061669,21406834
18061669,1262099252
18061669,18915145
18061669,1071402577
18061669,43910797
18061669,382791093
18061669,600463589
18061669,1096059529
18061669,60828944
18061669,1099199839
18061669,14845376
18061669,1074480192
18061669,233737858
18061669,229966028
18061669,75364211
18061669,18632666
18061669,242836537
18061669,1074518754
18061669,293131808
18061669,5558312
18061669,78403308
18061669,117501995
18061669,235217558
18061669,11651202
18061669,109287731
18061669,109071031
18061669,76456274
18061669,15324851
18061669,486694111
18061669,92186819
18061669,476256944
18061669,225921757
18061669,2863210809
18061669,88784440
18061669,339822881
18061669,29442313
18061669,247334603
18061669,17494010
18061669,7429102
18061669,21157904
18061669,18695134
18061669,29201047
18061669,21111098
18061669,221162525
18061669,250188760
18061669,296361085
18061669,21269970
18061669,76649729
18061669,264219447
18061669,13218102
18061669,202206694
18061669,19726613
18061669,10615232
1080844782,803694179079458816
1080844782,818554054309715969
1080844782,811313565760163844
1080844782,816683274076614656
1080844782,946549322
1080844782,2856787757
1080844782,2962923040
1080844782,236511574
1080844782,2955485182
1080844782,2891210047
1080844782,2964174789
1080844782,2863210809
1080844782,515822213
1080844782,2964949642
1080844782,968650362
1080844782,242555999
1080844782,970207298
1080844782,1262099252
1080844782,18915145
1080844782,339822881
1080844782,1074518754
1080844782,1058520120
1080844782,21111098
1080844782,76649729
1080844782,75364211
1080844782,1099199839
1080844782,76456274
1080844782,88784440
1080844782,1096059529
1080844782,17494010
1080844782,233737858
1080844782,234374703
1080844782,476256944
1080844782,242836537
1080844782,117501995
1080844782,1074480192
1080844782,171598736
1080844782,29442313
1080844782,247334603
1080844782,19726613
1080844782,600463589
1080844782,13218102
1080844782,1071402577
1080844782,221162525
1080844782,1068481578
1080844782,382791093
1080844782,109287731
1080844782,278124059
1080844782,224285242
1080844782,18061669
1080844782,202206694
1080844782,250188760
1080844782,78403308
1080844782,249787913
1080844782,291756142
1080844782,15324851
1080844782,264219447
1080844782,60828944
1080844782,29201047
1080844782,296361085
1080844782,293131808
1080844782,486694111
1080844782,216881337
1080844782,109071031
1080844782,14845376
1080844782,235217558
1080844782,11651202
1080844782,21157904
1080844782,234128524
1080844782,18632666
1080844782,92186819
1080844782,278145569
1080844782,10615232
1080844782,193794406
1080844782,18695134
1080844782,7429102
1080844782,43910797
1080844782,1048784496
1080844782,217543151
1080844782,5558312
1080844782,21269970
1080844782,21406834
1080844782,225921757
1080844782,18137749
2964949642,2955485182
2964949642,1080870981877534720
2964949642,382791093
2964949642,18632666
2964949642,221162525
2964949642,233737858
2964949642,217543151
2964949642,109287731
2964949642,18915145
2964949642,76649729
2964949642,600463589
2964949642,1096059529
2964949642,5558312
2964949642,13218102
2964949642,11651202
2964949642,816683274076614656
2964949642,235217558
2964949642,193794406
2964949642,291756142
2964949642,202206694
2964949642,75364211
2964949642,264219447
